<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
FPT,20110523,9.4937,9.4937,9.1139,9.1139,207850
FPT,20110520,9.7784,9.7784,9.4556,9.5886,222500
FPT,20110519,9.7784,9.8734,9.6835,9.7784,103090
FPT,20110518,9.4936,9.6835,9.4936,9.6835,121770
FPT,20110517,9.6835,9.8733,9.6835,9.7784,103050
FPT,20110516,9.9683,10.0632,9.7784,9.7784,153430
FPT,20110513,9.9683,10.0632,9.9683,9.9683,206020
FPT,20110512,9.7784,9.9683,9.7784,9.9683,101770
FPT,20110511,9.8733,10.0632,9.8733,9.9683,296850
FPT,20110510,10.0632,10.1581,10.0632,10.0632,184360
FPT,20110509,10.0633,10.0633,9.8734,10.0632,169860
FPT,20110506,9.7784,10.0632,9.7784,9.8734,173370
FPT,20110505,9.7784,9.7784,9.6835,9.7784,99170
FPT,20110504,9.4955,9.7775,9.4955,9.6835,116010
FPT,20110429,9.4955,9.7775,9.4955,9.5895,198900
FPT,20110428,9.5895,9.5895,9.4015,9.4955,106310
FPT,20110427,9.7775,9.7775,9.3827,9.5895,283140
FPT,20110426,9.7775,9.8715,9.5895,9.5895,142470
FPT,20110425,9.4015,9.7776,9.4015,9.7775,104440
FPT,20110422,9.6835,9.6835,9.3827,9.3827,108710
FPT,20110421,9.4955,9.5895,9.4015,9.4955,125940
FPT,20110420,9.6835,9.6835,9.4955,9.4955,288500
FPT,20110419,9.4955,9.7775,9.4955,9.5895,121670
FPT,20110418,9.9656,9.9656,9.6836,9.6835,11901
FPT,20110415,9.9656,10.0596,9.8716,9.9656,268920
FPT,20110414,10.0596,10.3416,9.9655,9.9656,143580
FPT,20110413,10.8117,10.8117,10.3416,10.3416,184160
FPT,20110408,10.7177,10.8117,10.6237,10.8117,215430
FPT,20110407,11.1878,11.1878,10.7177,10.8117,1194250
FPT,20110406,10.7177,10.7177,10.7177,10.7177,324410
FPT,20110405,10.2476,10.2476,10.2476,10.2476,122720
FPT,20110404,9.7776,9.7776,9.7776,9.7775,131820
FPT,20110401,9.5895,9.5895,9.3451,9.3827,122770
FPT,20110331,9.5895,9.6835,9.4955,9.5895,58030
FPT,20110330,9.5895,9.6835,9.4955,9.5895,196660
FPT,20110329,9.7775,9.7775,9.6835,9.6835,35290
FPT,20110328,9.9656,9.9656,9.6836,9.7775,67550
FPT,20110325,9.8716,9.8716,9.7776,9.8716,99110
FPT,20110324,9.9656,10.0596,9.8716,9.9656,52750
FPT,20110323,9.9656,10.0596,9.9656,10.0596,101550
FPT,20110322,9.9656,10.0596,9.8716,9.9656,214610
FPT,20110321,10.0596,10.0596,9.9656,9.9656,229180
FPT,20110318,9.7775,9.9655,9.6835,9.9656,412110
FPT,20110317,9.8716,9.9656,9.7776,9.7775,118750
FPT,20110316,9.9656,9.9656,9.7776,9.8716,246180
FPT,20110315,9.8716,9.9656,9.8716,9.8716,190180
FPT,20110314,9.9656,10.1536,9.9656,9.9656,179190
FPT,20110311,10.3416,10.3416,10.1536,10.1536,288970
FPT,20110310,10.0596,10.2476,10.0596,10.2476,301530
FPT,20110309,10.3416,10.3416,9.8715,10.1536,176060
FPT,20110308,10.1536,10.3416,10.1536,10.3416,233450
FPT,20110307,10.1536,10.2476,10.1536,10.1536,132760
FPT,20110304,10.3416,10.3416,10.1536,10.1536,260440
FPT,20110303,9.8716,10.2476,9.8716,10.1536,243550
FPT,20110302,10.2476,10.2476,9.7775,10.1536,428290
FPT,20110301,10.1536,10.2476,10.0596,10.2476,223800
FPT,20110228,10.3416,10.6236,10.1536,10.1536,466550
FPT,20110225,9.9656,10.4357,9.8716,10.4356,365920
FPT,20110224,9.7776,9.9656,9.5895,9.9656,591360
FPT,20110223,10.0596,10.4356,10.0596,10.0596,379950
FPT,20110222,10.0595,10.4356,9.9655,10.1536,654500
FPT,20110221,10.7177,10.7177,10.4356,10.4356,349210
FPT,20110218,11.2818,11.4698,10.9057,10.9057,674860
FPT,20110217,11.4698,11.4698,11.2818,11.4698,182910
FPT,20110216,11.5638,11.6578,11.4698,11.4698,179170
FPT,20110215,11.4698,11.5638,11.4698,11.5638,266520
FPT,20110214,11.8458,11.8458,11.4698,11.5638,290810
FPT,20110211,11.7519,11.7519,11.5639,11.6578,576950
FPT,20110210,11.8459,11.9399,11.7519,11.7519,393200
FPT,20110209,12.2219,12.2219,11.8459,11.8459,211100
FPT,20110208,11.9399,12.4100,11.9399,11.9399,480160
FPT,20110128,12.3159,12.3159,11.8458,11.8459,408070
FPT,20110127,11.5638,12.2219,11.5638,12.2219,386830
FPT,20110126,11.6579,11.7519,11.5639,11.6578,348000
FPT,20110125,11.7519,11.9399,11.7519,11.7519,437760
FPT,20110124,12.0339,12.0339,11.8459,11.8459,370470
FPT,20110121,12.2219,12.2219,12.0339,12.0339,285390
FPT,20110120,12.0339,12.1279,11.9399,11.9399,140760
FPT,20110119,12.4099,12.4099,12.1279,12.1279,244690
FPT,20110118,12.2219,12.4099,12.1279,12.2219,346590
FPT,20110117,12.5040,12.5040,12.2219,12.2219,590470
FPT,20110114,11.7519,11.9399,11.7519,11.9399,185040
FPT,20110113,11.3758,11.5638,11.3758,11.3758,207110
FPT,20110112,11.8459,11.8459,11.4699,11.4698,365320
FPT,20110111,11.7519,11.8459,11.5639,11.7519,248270
FPT,20110110,11.6578,11.9398,11.6578,11.7519,389750
FPT,20110107,11.6579,11.7519,11.6579,11.6578,482230
FPT,20110106,11.6579,11.8459,11.6579,11.7519,133570
FPT,20110105,12.0339,12.0339,11.6579,11.7519,319330
FPT,20110104,12.2219,12.2219,11.9399,11.9399,253340
FPT,20101231,11.9399,12.1279,11.9399,12.1279,291090
FPT,20101230,11.9399,12.1279,11.9399,11.9399,536960
FPT,20101229,12.2219,12.2219,11.9399,12.1279,326940
FPT,20101228,12.2219,12.2219,12.0339,12.2219,285250
FPT,20101227,12.2219,12.2219,12.0339,12.1279,256120
FPT,20101224,12.2219,12.3159,12.0339,12.1279,231970
FPT,20101223,12.0339,12.2219,12.0339,12.2219,347800
FPT,20101222,12.2219,12.3159,12.1279,12.1279,251060
FPT,20101221,12.2220,12.4100,12.1280,12.2219,487160
FPT,20101220,12.4100,12.5980,12.1280,12.4100,412040
FPT,20101217,12.4099,12.5039,12.3159,12.4100,416970
FPT,20101216,12.5040,12.6920,12.3159,12.3159,453340
FPT,20101215,12.8800,12.9740,12.6920,12.6920,429720
FPT,20101214,13.0681,13.0681,12.7861,12.9740,383570
FPT,20101213,12.8800,13.1620,12.8800,13.0681,383130
FPT,20101210,12.8800,12.8800,12.6920,12.8800,419620
FPT,20101209,12.6920,12.8800,12.5980,12.7860,161060
FPT,20101208,12.7860,12.7860,12.5980,12.5980,144930
FPT,20101207,12.7860,12.8800,12.6920,12.6920,341380
FPT,20101206,12.9740,12.9740,12.6920,12.8800,617980
FPT,20101203,13.2560,13.2560,12.9740,12.9740,229420
FPT,20101202,13.0680,13.1620,12.8800,12.9740,177920
FPT,20101201,13.2561,13.2561,12.8801,12.8800,691780
FPT,20101130,13.8202,13.8202,13.1621,13.1621,243360
FPT,20101129,12.9740,13.2561,12.9740,13.2561,162860
FPT,20101126,13.2561,13.2561,12.8801,12.8800,123150
