<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
FPT,20200303,46.9676,47.6361,46.5497,46.7169,1193800
FPT,20200302,46.0483,46.9676,45.7976,46.5497,1787060
FPT,20200228,45.9647,46.5497,45.6304,46.0483,2132200
FPT,20200227,45.9647,47.2183,45.6304,46.8004,2927040
FPT,20200226,44.6276,46.1319,44.2933,45.9647,3221270
FPT,20200225,43.5411,45.1290,43.4575,45.1290,1407720
FPT,20200224,44.3768,45.0454,43.8754,43.8754,2261990
FPT,20200221,46.7169,46.7169,45.7140,45.7140,1458040
FPT,20200220,46.8840,47.1347,46.3826,46.6333,780810
FPT,20200219,46.7168,46.9675,46.3825,46.5497,681250
FPT,20200218,45.4632,46.8004,45.3797,46.8004,1760940
FPT,20200217,45.6305,45.6305,45.1290,45.2961,726390
FPT,20200214,45.2126,45.5468,45.1290,45.5469,884240
FPT,20200213,45.2126,45.5469,44.8783,45.3797,1030570
FPT,20200212,44.9618,45.7140,44.8783,45.2126,1104870
FPT,20200211,44.2097,44.8783,44.0426,44.7947,1085380
FPT,20200210,43.7918,44.2933,43.5411,43.9590,738090
FPT,20200207,44.2933,44.7111,44.1261,44.5440,1218660
FPT,20200206,43.8754,44.7947,43.2904,44.7947,1708550
FPT,20200205,43.7083,44.1261,43.4575,43.4575,1648620
FPT,20200204,43.7919,43.7919,42.6218,43.2904,1651440
FPT,20200203,41.4518,43.8754,40.9503,43.0397,3602970
FPT,20200131,45.1290,45.8811,43.4576,43.4575,4118150
FPT,20200130,46.2154,46.6333,45.0454,45.7140,2638460
FPT,20200122,45.9647,47.2183,45.7140,47.2183,3165650
FPT,20200121,48.3047,48.4718,46.3825,46.3826,4351820
FPT,20200120,48.0540,48.4719,47.8033,47.9704,1227100
FPT,20200117,48.4719,48.5555,47.6362,48.1376,1388810
FPT,20200116,47.6362,48.6391,47.6362,48.4719,1942970
FPT,20200115,47.6362,47.7198,47.4691,47.6362,940870
FPT,20200114,47.7197,47.9704,47.6361,47.6362,721680
FPT,20200113,47.9704,48.1376,47.6361,47.7197,786760
FPT,20200110,48.0540,48.3047,47.7197,48.0540,1018650
FPT,20200109,47.8869,48.2211,47.7197,48.1376,967050
FPT,20200108,48.0541,48.2212,47.4691,47.4690,1814290
FPT,20200107,47.8869,48.5555,47.6362,48.5555,837240
FPT,20200106,47.7197,48.1376,47.4690,47.6362,1091660
FPT,20200103,49.2240,49.3912,47.9704,48.1376,2047880
FPT,20200102,48.7226,49.3076,48.4719,48.9733,896720
FPT,20191231,48.9733,49.0569,48.4719,48.7226,689030
FPT,20191230,48.3047,49.2240,48.1376,48.9733,2881060
FPT,20191227,47.9704,48.3047,47.4690,48.1376,1004860
FPT,20191226,48.3047,48.5554,47.9704,47.9704,1124500
FPT,20191225,47.1347,48.3883,47.1347,48.0540,1604350
FPT,20191224,47.1347,47.2183,46.8840,47.1347,692100
FPT,20191223,47.5526,47.6362,46.8004,46.8840,766000
FPT,20191220,46.8004,47.3854,46.6333,47.2183,777100
FPT,20191219,46.3826,46.9676,46.2990,46.6333,817820
FPT,20191218,46.2990,46.8004,45.9647,46.3826,1022490
FPT,20191217,46.9676,47.1347,46.0483,46.2990,2211360
FPT,20191216,47.7197,47.7197,47.1347,47.2183,968130
FPT,20191213,47.8033,48.0541,47.5526,47.7197,1681700
FPT,20191212,47.4690,47.8033,47.3854,47.6362,942410
FPT,20191211,46.3826,47.3019,46.1319,47.2183,877960
FPT,20191210,46.2154,46.6333,45.7975,46.3826,797100
FPT,20191209,46.1318,46.6333,45.9647,46.2154,700960
FPT,20191206,45.9647,46.2990,45.7140,45.9647,556160
FPT,20191205,46.3826,46.6333,45.7976,45.8811,1144000
FPT,20191204,45.5469,46.3826,45.1290,46.2990,932130
FPT,20191203,45.2961,46.1318,44.5440,45.5469,1619120
FPT,20191202,47.2183,47.2183,45.6304,45.6304,1992380
FPT,20191129,46.8004,47.4690,46.6333,47.1347,739370
FPT,20191128,47.5526,47.5526,46.6333,46.8004,1370820
FPT,20191127,47.8033,47.9704,47.5526,47.6362,812280
FPT,20191126,47.6362,47.8033,47.4690,47.7197,968690
FPT,20191125,46.8840,47.6361,46.6333,47.3019,1087990
FPT,20191122,47.0511,47.7197,46.3825,46.8004,1625820
FPT,20191121,47.4690,47.7197,46.7169,46.8004,3303950
FPT,20191120,48.6390,48.6390,47.3019,47.4690,2291760
FPT,20191119,48.0540,48.7226,48.0540,48.7226,1059770
FPT,20191118,48.8062,49.1404,47.7197,48.0540,2794920
FPT,20191115,48.7226,49.1405,48.2212,48.9733,2568040
FPT,20191114,50.5612,50.9791,48.0540,48.7226,4799390
FPT,20191113,51.1461,51.2297,50.5611,50.5612,1333940
FPT,20191112,50.1433,51.2297,50.1433,50.9790,2842650
FPT,20191111,49.8926,50.6447,49.7254,50.1433,2180490
FPT,20191108,49.9762,49.9762,49.4748,49.8090,1219540
FPT,20191107,49.7255,50.0598,49.4748,49.7255,1438030
FPT,20191106,49.9762,50.4776,49.7255,49.7255,1551610
FPT,20191105,50.2268,50.2268,49.6418,49.9762,1239520
FPT,20191104,49.0568,50.5611,49.0568,50.0597,5811560
FPT,20191101,48.4719,49.0569,48.1376,48.8897,1732950
FPT,20191031,48.4718,49.0568,48.3047,48.3883,1263390
FPT,20191030,48.3883,48.5554,48.1376,48.3047,1102070
FPT,20191029,48.6391,48.7226,48.3048,48.3883,953020
FPT,20191028,48.4719,49.1405,48.3048,48.5555,1494820
FPT,20191025,48.7226,48.8897,48.2211,48.4719,1355310
FPT,20191024,47.4690,48.6390,47.1347,48.6390,2233890
FPT,20191023,46.8005,47.6362,46.8005,47.1347,747810
FPT,20191022,47.2183,47.3019,46.5497,47.0512,1534380
FPT,20191021,47.9704,47.9704,47.0511,47.2183,1260490
FPT,20191018,47.4690,48.1375,47.3018,47.7197,1447340
FPT,20191017,47.9704,48.0540,47.3019,47.3854,1621590
FPT,20191016,48.3047,48.4718,47.9704,48.0540,829050
FPT,20191015,48.3048,48.3048,47.9705,47.9704,663910
FPT,20191014,47.6362,48.6390,47.4690,48.2212,2231030
FPT,20191011,47.3854,47.5526,47.1347,47.2183,794420
FPT,20191010,47.3018,47.6361,47.1347,47.1347,808000
FPT,20191009,47.0511,47.6361,46.6333,47.1347,937530
FPT,20191008,46.3826,46.9676,46.1319,46.8840,1337220
FPT,20191007,47.4690,47.8033,46.3826,46.3826,2371810
FPT,20191004,48.0540,48.0540,47.3854,47.4690,1271210
FPT,20191003,47.3019,47.9704,47.1347,47.8033,2804850
FPT,20191002,48.8897,48.9733,47.8033,47.8033,2439020
FPT,20191001,48.2212,48.8898,48.1376,48.8897,1644130
FPT,20190930,49.5583,49.7254,48.2211,48.2212,2199170
FPT,20190927,48.1376,49.1405,47.9705,48.8897,2510520
FPT,20190926,48.2211,48.4718,47.8033,48.2212,992640
FPT,20190925,47.0512,47.9705,46.8840,47.9704,1442410
FPT,20190924,47.1347,47.6362,46.6333,46.9676,2537600
FPT,20190923,48.4719,48.7226,47.2183,47.2183,2313090
FPT,20190920,48.2211,49.1404,48.1376,48.6390,1396120
FPT,20190919,47.3018,48.3047,46.9676,48.3047,1432730
FPT,20190918,48.3883,48.3883,47.0512,47.1347,2592910
FPT,20190917,47.8869,48.5555,47.7198,48.1376,1194690
FPT,20190916,47.5526,48.4719,47.3854,48.2212,1339560
FPT,20190913,47.2183,47.9704,47.0512,47.4690,2123900
FPT,20190912,45.4633,47.2183,45.4633,47.2183,3799910
FPT,20190911,45.1290,45.2961,44.6276,45.2126,1179670
FPT,20190910,45.2961,45.4632,44.7947,45.1290,1731610
FPT,20190909,44.2933,45.4633,43.8754,44.9618,2507800
FPT,20190906,44.2097,44.4604,43.7083,44.2097,1142710
FPT,20190905,44.6275,44.7111,43.9590,43.9590,1243680
FPT,20190904,44.8783,45.2962,44.2933,44.4604,1655300
FPT,20190903,44.2932,45.1289,44.2932,44.8783,1360230
FPT,20190830,44.2933,44.6276,44.2097,44.3768,708360
FPT,20190829,43.6247,44.1261,43.3740,44.0426,972940
FPT,20190828,44.2932,44.4604,43.5411,43.5411,1537860
FPT,20190827,45.1290,45.3797,44.1261,44.1261,1566370
FPT,20190826,44.7111,45.2962,44.7111,44.8783,1756160
FPT,20190823,44.3769,45.4633,43.9590,45.4633,1868200
FPT,20190822,44.7947,45.3797,44.2097,44.2933,1892640
FPT,20190821,45.2126,45.5469,44.6276,44.7947,1808020
FPT,20190820,43.7918,45.1290,43.7918,45.1290,2277750
FPT,20190819,43.4575,44.0425,42.7889,43.7918,2849780
FPT,20190816,44.2933,46.0483,43.4576,43.4575,4531020
FPT,20190815,43.3722,44.2915,42.9543,44.2933,2223880
FPT,20190814,43.4589,44.0329,43.2949,43.6229,2205370
FPT,20190813,42.7209,43.6229,42.3929,43.0489,2237980
FPT,20190812,41.9009,43.1309,41.5729,42.8849,1817920
FPT,20190809,41.2449,42.1469,40.9989,41.9009,1751680
FPT,20190808,40.8759,41.4909,40.8759,41.2449,2085510
FPT,20190807,40.1789,40.7939,40.1379,40.7939,1246410
FPT,20190806,39.5229,40.4249,39.5229,40.1379,1304570
FPT,20190805,40.1789,40.8349,40.0149,40.1789,2322100
FPT,20190802,39.4000,40.1790,39.2360,40.0149,1451900
FPT,20190801,39.6870,39.8510,39.5230,39.6460,965060
FPT,20190731,39.1950,39.6870,38.9490,39.6870,1111880
FPT,20190730,39.8510,39.8510,39.1130,39.1950,2092220
FPT,20190729,40.0149,40.0149,39.5229,39.8510,1130450
FPT,20190726,39.7690,40.0150,39.6460,40.0149,1043020
FPT,20190725,39.8510,40.1380,39.7690,39.8920,1157100
FPT,20190724,40.4659,40.5069,39.8509,39.8510,1952770
FPT,20190723,39.7690,40.0150,39.4410,40.0149,948550
FPT,20190722,39.5230,39.8920,39.3180,39.6460,1755780
FPT,20190719,38.4980,39.6050,38.4570,39.5230,2811560
FPT,20190718,38.5390,38.6210,38.3750,38.3750,1035440
FPT,20190717,38.7850,38.9490,38.5390,38.5800,1292630
FPT,20190716,38.8260,39.1950,38.7440,38.7850,1160000
FPT,20190715,38.4980,38.9900,38.4160,38.7850,1176060
FPT,20190712,38.6210,38.9080,38.3750,38.5390,1241970
FPT,20190711,38.6620,38.7440,38.3750,38.5390,854140
FPT,20190710,38.4980,38.9080,38.3750,38.5800,1281980
FPT,20190709,37.9650,38.4160,37.8010,38.3340,992570
FPT,20190708,38.1290,38.4570,37.7600,37.9650,1303050
FPT,20190705,38.3750,38.5390,38.0470,38.2110,1137770
FPT,20190704,38.5390,38.7030,38.3750,38.4980,1275800
FPT,20190703,38.2930,38.4570,38.1700,38.3750,1275860
FPT,20190702,38.5390,38.9490,38.2520,38.4570,1600280
FPT,20190701,37.7190,38.6210,37.6370,38.6210,2551280
FPT,20190628,37.2270,37.7190,36.8170,37.3090,2479220
FPT,20190627,37.7600,37.8010,37.1450,37.2270,1221860
FPT,20190626,38.1290,38.1290,37.8010,37.8420,1014470
FPT,20190625,36.8990,38.1700,36.7350,38.1290,3269450
FPT,20190624,37.2270,37.2680,37.0220,37.0220,726160
FPT,20190621,37.3090,37.3910,37.1040,37.2270,872460
FPT,20190620,36.7760,37.2270,36.6120,37.2270,1356030
FPT,20190619,36.3251,36.6531,36.2431,36.6120,530820
FPT,20190618,36.3661,36.4481,35.8741,36.1201,763680
FPT,20190617,36.1610,36.4890,35.9970,36.1201,1013550
FPT,20190614,36.5710,36.8170,36.4070,36.4070,559800
FPT,20190613,36.9400,36.9810,36.4890,36.5300,856270
FPT,20190612,37.0630,37.3910,36.8990,36.9400,1284520
FPT,20190611,36.9810,37.3910,36.8170,37.0630,1296500
FPT,20190610,37.3090,37.4730,36.7350,36.9810,1227340
FPT,20190607,36.7350,37.1040,36.6530,37.0630,1304680
FPT,20190606,35.9151,36.6531,35.7511,36.4890,922740
FPT,20190605,35.6691,35.9971,35.6691,35.7511,500100
FPT,20190604,35.6691,35.8331,35.4641,35.5051,537160
FPT,20190603,36.0790,36.1610,35.6690,35.6691,881810
FPT,20190531,36.5710,36.7350,36.1610,36.1610,611860
FPT,20190530,36.1610,36.6530,35.9970,36.5300,986450
FPT,20190529,36.7760,36.7760,36.0790,36.1610,1505300
FPT,20190528,36.8990,37.2270,36.6940,36.7760,518470
FPT,20190527,37.1450,37.2680,36.6120,37.1040,1261950
FPT,20190524,37.3090,37.6780,37.1040,37.3910,1014750
FPT,20190523,37.1040,37.5550,37.0630,37.4730,1267520
FPT,20190522,37.6780,37.8420,37.1040,37.1040,1563650
FPT,20190521,37.3090,37.7600,37.1860,37.6370,1016530
FPT,20190520,36.4890,37.1450,36.4890,37.1040,1792130
FPT,20190517,36.9221,36.9221,36.3477,36.4480,1487590
FPT,20190516,36.8136,37.0327,36.2658,36.2657,1891290
FPT,20190515,36.8866,36.9597,36.5945,36.8136,1539940
FPT,20190514,36.0832,37.1058,35.8640,36.6675,1560830
FPT,20190513,35.7910,36.3753,35.7910,36.1562,850540
FPT,20190510,35.7910,35.9736,35.6084,35.7910,1027830
FPT,20190509,36.2292,36.2657,35.4988,35.4988,860940
FPT,20190508,36.0101,36.3023,35.7910,36.2657,959020
FPT,20190507,35.8641,36.3023,35.8275,36.3023,1094880
FPT,20190506,35.7910,36.0831,35.3892,35.6084,1455140
FPT,20190503,36.4483,36.5214,36.2292,36.5214,1059570
FPT,20190502,36.3753,36.6675,36.2657,36.4118,885020
FPT,20190426,35.7179,36.3388,35.6449,36.1927,864950
FPT,20190425,35.4258,35.9006,35.3893,35.6449,970660
FPT,20190424,35.4258,35.5353,35.1336,35.4623,855130
FPT,20190423,34.9875,35.3892,34.6953,34.9875,549400
FPT,20190422,35.4257,35.4257,34.9144,34.9875,826090
FPT,20190419,35.5719,35.7180,35.3528,35.3892,453980
FPT,20190418,35.4258,35.9736,35.0971,35.4258,975930
FPT,20190417,35.2797,36.1562,35.2066,35.4258,1959530
FPT,20190416,34.6953,35.2066,34.6953,34.9875,907000
FPT,20190412,34.2205,35.3527,34.2205,35.2066,875090
FPT,20190411,34.2571,34.6954,34.2206,34.3301,359910
FPT,20190410,34.3301,34.5492,34.1475,34.2571,731100
FPT,20190409,34.9145,35.4258,34.5493,34.5492,1011680
FPT,20190408,34.8049,35.0606,34.6588,34.9145,452660
FPT,20190405,34.9145,34.9875,34.6588,34.9145,615200
FPT,20190404,34.6953,35.2066,34.5127,34.9145,1716130
FPT,20190403,33.8919,34.4762,33.5997,34.4762,1034100
FPT,20190402,33.4536,34.1110,33.4536,33.5997,1354480
FPT,20190401,33.5267,33.5267,33.2345,33.4536,327500
FPT,20190329,33.3075,33.3075,33.0884,33.2345,446750
FPT,20190328,32.6867,33.1250,32.6867,32.9788,362360
FPT,20190327,32.7232,32.9424,32.7232,32.8693,589040
FPT,20190326,32.8693,32.8693,32.5040,32.6867,386120
FPT,20190325,32.2849,32.8693,32.2849,32.4310,633520
FPT,20190322,32.9423,33.1614,32.9058,32.9058,687690
FPT,20190321,33.4537,33.4537,32.9423,32.9423,825740
FPT,20190320,33.3076,33.5267,33.0519,33.1980,797270
FPT,20190319,33.7458,33.8188,33.3806,33.3806,914720
FPT,20190318,33.8188,33.9284,33.5632,33.7458,994080
FPT,20190315,33.7823,33.8188,33.4171,33.5997,1041840
FPT,20190314,33.7458,33.9649,33.5997,33.7823,533480
FPT,20190313,33.9649,34.1110,33.7458,33.7458,1001890
FPT,20190312,32.6866,33.9649,32.6866,33.9649,1930870
FPT,20190311,32.6136,32.7597,32.4675,32.5040,364520
FPT,20190308,32.6502,32.7232,32.4676,32.6136,693180
FPT,20190307,32.5771,32.8693,32.5771,32.6867,374340
FPT,20190306,32.8327,32.9423,32.4675,32.5771,695230
FPT,20190305,32.8693,33.0154,32.7232,32.7962,824300
FPT,20190304,32.5771,33.0154,32.5771,32.8693,806770
FPT,20190301,32.5405,32.5771,32.2484,32.5771,590780
FPT,20190228,32.9423,32.9423,32.2849,32.2849,1372190
FPT,20190227,33.0153,33.1979,32.7962,32.9423,485650
FPT,20190226,33.3075,33.3075,32.8693,33.0153,663220
FPT,20190225,33.2709,33.7457,33.1979,33.2345,1023660
FPT,20190222,32.7232,33.1615,32.4310,33.0153,1243720
FPT,20190221,32.6501,32.7962,32.3580,32.7232,749950
FPT,20190220,32.3580,32.9058,32.3580,32.7597,499430
FPT,20190219,32.6501,32.9788,32.3580,32.4310,1470880
FPT,20190218,32.5040,32.5771,32.2119,32.4310,306310
FPT,20190215,32.3214,32.4675,32.1388,32.2849,647230
FPT,20190214,32.6136,32.7963,32.3215,32.3214,616980
FPT,20190213,32.1388,32.8693,32.1388,32.5406,1125370
FPT,20190212,32.1388,32.5771,32.0658,32.0658,701570
FPT,20190211,31.4084,32.3579,31.1892,32.2484,1000430
FPT,20190201,31.5545,31.5545,30.3128,31.1162,599890
FPT,20190131,31.6275,31.7006,31.3354,31.5545,517260
FPT,20190130,31.0432,31.7006,30.9702,31.5545,689260
FPT,20190129,30.9701,31.0432,30.6780,31.0432,430580
FPT,20190128,31.0431,31.0431,30.7510,30.7510,216330
FPT,20190125,30.9702,31.1163,30.8971,30.9701,213470
FPT,20190124,30.9701,31.1162,30.9336,31.0067,234470
FPT,20190123,30.8971,30.9701,30.7875,30.9336,193460
FPT,20190122,31.0432,31.2258,30.9336,30.9336,141480
FPT,20190121,30.8241,31.2623,30.8241,31.0432,247800
FPT,20190118,30.7510,31.0432,30.6780,30.6780,227150
FPT,20190117,31.0432,31.2258,30.6780,30.6780,379770
FPT,20190116,31.4084,31.4084,31.0797,31.0797,186590
FPT,20190115,30.8971,31.2623,30.8971,31.2623,339480
FPT,20190114,30.8971,31.1163,30.6780,31.0432,398400
FPT,20190111,30.9701,31.0797,30.7145,30.8241,596090
FPT,20190110,30.9701,31.0797,30.7875,30.7875,207330
FPT,20190109,30.7510,31.1163,30.6050,30.9701,309040
FPT,20190108,30.5319,30.6780,30.4589,30.6780,295660
FPT,20190107,30.5319,30.7510,30.3858,30.5319,408470
FPT,20190104,29.6554,30.2763,29.5824,30.0206,318570
FPT,20190103,30.2762,30.2762,29.7284,29.8015,716600
FPT,20190102,30.5319,30.7876,30.0571,30.0936,459120
FPT,20181228,30.7145,30.8241,30.5319,30.8241,387170
FPT,20181227,30.7510,30.8606,30.5319,30.5319,454860
FPT,20181226,30.3128,30.5685,30.2398,30.2397,333590
FPT,20181225,30.2397,30.3128,29.9476,30.3128,732310
FPT,20181224,31.1162,31.2623,30.6780,30.6780,212530
FPT,20181221,30.6049,31.0432,30.6049,31.0432,453810
FPT,20181220,30.8971,30.9701,30.7145,30.7145,461210
FPT,20181219,30.6780,31.1163,30.5684,30.7510,471580
FPT,20181218,30.9336,31.2623,30.5684,30.6780,1125660
FPT,20181217,32.2119,32.2119,31.4084,31.4084,777640
FPT,20181214,32.5771,32.7232,32.2119,32.2484,787920
FPT,20181213,32.8327,33.0518,32.5040,32.5771,780570
FPT,20181212,32.1754,32.5406,32.1754,32.4675,664120
FPT,20181211,32.3579,32.5040,32.0658,32.1754,382700
FPT,20181210,32.7232,32.8693,32.2849,32.2849,694990
FPT,20181207,32.5771,33.1249,32.5771,32.9423,763170
FPT,20181206,32.5041,32.7232,32.1754,32.4310,484120
FPT,20181205,32.4675,32.8327,32.4310,32.5771,605880
FPT,20181204,32.7962,33.2345,32.6866,32.8327,1011170
FPT,20181203,31.5545,32.7963,31.5545,32.7962,1136360
FPT,20181130,31.3354,31.3719,31.1528,31.3354,323780
FPT,20181129,31.6275,31.7736,31.3353,31.3354,523610
FPT,20181128,31.2258,31.2988,31.0797,31.2623,256240
FPT,20181127,31.3354,31.3354,31.0432,31.2258,341670
FPT,20181126,31.4449,31.4449,31.0066,31.0067,483470
FPT,20181123,31.4815,31.7371,31.4084,31.4449,346060
FPT,20181122,31.7006,31.8467,31.5910,31.7006,323300
FPT,20181121,31.2623,31.7006,31.1893,31.7006,513360
FPT,20181120,31.5545,31.7006,31.2989,31.7006,550140
FPT,20181119,31.4084,31.5545,31.2623,31.5180,396020
FPT,20181116,31.0432,31.3354,30.8606,31.2258,639910
FPT,20181115,30.6780,30.9702,30.4589,30.8241,498790
FPT,20181114,30.6049,30.8606,30.3858,30.8606,752440
FPT,20181113,30.0937,30.4954,30.0937,30.4223,438030
FPT,20181112,30.0937,30.6415,30.0572,30.6415,273110
FPT,20181109,30.5319,30.7510,30.0936,30.1302,635120
FPT,20181108,30.8606,30.9701,30.6414,30.7875,352130
FPT,20181107,30.7875,31.0431,30.4223,30.5684,495560
FPT,20181106,31.1893,31.2258,30.7510,30.7875,470930
FPT,20181105,31.1163,31.4084,30.8241,31.0797,265620
FPT,20181102,30.9336,31.4084,30.7145,31.3354,593810
FPT,20181101,30.7145,30.9702,30.6050,30.6049,469760
FPT,20181031,30.4953,30.6779,30.1666,30.6415,325140
FPT,20181030,30.0205,30.5318,29.8379,29.9475,452630
FPT,20181029,29.5824,30.2763,29.5824,29.9475,462380
FPT,20181026,30.3128,30.4954,29.8015,29.8015,919770
FPT,20181025,29.2171,30.1667,29.2171,29.9841,757730
FPT,20181024,30.7145,31.0798,30.5319,30.5319,562380
FPT,20181023,31.5180,31.5180,30.3858,30.8241,1150850
FPT,20181022,31.7006,31.9197,31.4814,31.5180,429360
FPT,20181019,31.4084,31.7737,31.3354,31.4084,925420
FPT,20181018,31.9197,32.1389,31.7006,31.8467,710630
FPT,20181017,31.9927,32.1388,31.7736,31.8467,474320
FPT,20181016,31.7736,31.7736,31.1893,31.5910,603710
FPT,20181015,31.9927,32.1388,31.4084,31.4084,495650
FPT,20181012,31.0432,32.1389,30.4589,31.9927,1377940
FPT,20181011,32.1388,32.4310,30.8971,31.1893,2177930
FPT,20181010,32.6501,33.1614,32.6501,33.0884,695690
FPT,20181009,32.8693,32.9789,32.6502,32.6501,399440
FPT,20181008,33.2345,33.2345,32.8692,32.8693,511810
FPT,20181005,33.5631,33.5997,33.2710,33.3075,508450
FPT,20181004,33.2345,33.5997,33.1615,33.4901,471280
FPT,20181003,33.0884,33.3806,33.0519,33.2345,373060
FPT,20181002,33.4901,33.5997,33.0519,33.0884,854660
FPT,20181001,33.8188,33.9284,33.5632,33.5997,519760
FPT,20180928,33.9649,33.9649,33.7823,33.8188,559790
FPT,20180927,33.6362,33.9649,33.6362,33.7458,750790
FPT,20180926,33.5996,34.1840,33.4901,33.6362,1028940
FPT,20180925,33.5997,33.6727,33.4536,33.5266,746530
FPT,20180924,33.5266,33.9649,33.4536,33.6727,991190
FPT,20180921,33.6362,33.6362,33.0153,33.5266,1327270
FPT,20180920,32.9058,33.7458,32.9058,33.5266,1126260
FPT,20180919,32.8693,33.3441,32.7232,33.1980,1352060
FPT,20180918,31.9197,32.7232,31.9197,32.7232,799660
FPT,20180917,32.5041,32.5041,32.2119,32.2119,564810
FPT,20180914,31.8467,32.6502,31.8467,32.5406,2772660
FPT,20180913,31.9197,32.0658,31.5545,31.7006,646170
FPT,20180912,31.7737,31.9197,31.4450,31.4449,477500
FPT,20180911,31.0797,31.5545,31.0797,31.5180,562280
FPT,20180910,31.5545,31.5545,31.0797,31.0797,367280
FPT,20180907,31.0432,31.4084,30.9336,31.4084,508770
FPT,20180906,31.4814,31.6275,30.9336,30.9336,1206190
FPT,20180905,32.1754,32.2849,31.4084,31.6275,843460
FPT,20180904,32.2119,32.6501,32.1388,32.2119,634400
FPT,20180831,32.2484,32.7962,32.2119,32.2849,1027280
FPT,20180830,32.2849,32.2849,32.1023,32.2484,632170
FPT,20180829,32.2484,32.4310,32.1023,32.2849,775370
FPT,20180828,32.3580,32.4675,32.1754,32.2849,909720
FPT,20180827,32.3579,32.5040,32.2849,32.4310,808140
FPT,20180824,32.4310,32.5040,32.0658,32.4675,629740
FPT,20180823,32.2119,32.5041,32.2119,32.4310,1004880
FPT,20180822,31.9562,32.3580,31.9197,32.1754,1152700
FPT,20180821,31.8467,31.9927,31.7006,31.9197,720470
FPT,20180820,31.7736,32.3579,31.5180,31.9197,955270
FPT,20180817,31.5545,31.7736,31.4084,31.7736,928050
FPT,20180816,31.3342,31.4073,31.0056,31.4084,1378580
FPT,20180815,31.6181,31.9036,31.1899,31.2612,1658080
FPT,20180814,31.2255,31.6538,31.1185,31.6181,1601310
FPT,20180813,30.7616,31.1898,30.7616,31.0114,1038760
FPT,20180810,30.5475,31.0114,30.4761,30.7616,797270
FPT,20180809,30.6903,30.8330,30.3691,30.5475,1232720
FPT,20180808,29.9408,30.4047,29.9051,30.3334,764020
FPT,20180807,30.1907,30.1907,29.7981,29.9408,645810
FPT,20180806,30.2621,30.4762,30.1550,30.1550,350030
FPT,20180803,30.6902,30.7616,30.2620,30.4048,719840
FPT,20180802,29.9765,30.4761,29.6910,30.4761,726710
FPT,20180801,30.4761,30.7259,29.9051,29.9765,2431450
FPT,20180731,30.9044,31.0471,30.5475,30.5475,1591210
FPT,20180730,30.9758,31.0471,30.8330,30.9044,1197220
FPT,20180727,30.6189,31.3326,30.3691,30.9044,1291840
FPT,20180726,30.4761,30.6902,30.0479,30.3691,717640
FPT,20180725,30.1907,31.2613,30.1193,30.2620,1326030
FPT,20180724,29.9765,30.2977,29.5483,30.1193,1167460
FPT,20180723,30.1192,30.4761,29.8694,29.9765,1111700
FPT,20180720,30.1907,30.1907,29.4412,29.6910,851350
FPT,20180719,30.1193,30.6189,30.1193,30.3334,753150
FPT,20180718,29.9766,30.6189,29.9052,30.6189,1096080
FPT,20180717,29.0487,29.9051,28.9416,29.9052,1297460
FPT,20180716,29.3342,29.6197,29.0130,29.1914,645230
FPT,20180713,28.1922,29.1201,28.0495,28.9773,1060620
FPT,20180712,27.5499,28.2993,27.4785,27.6926,684480
FPT,20180711,28.1922,28.5491,27.5499,27.9781,801770
FPT,20180710,28.7632,29.0486,28.5490,28.8346,249100
FPT,20180709,29.2628,29.5127,28.4064,28.6561,583920
FPT,20180706,27.8353,29.7624,27.7640,29.1201,913260
FPT,20180705,28.5491,28.6205,27.4785,28.1922,711240
FPT,20180704,27.8710,28.5490,27.4784,28.5491,980200
FPT,20180703,28.6918,29.0130,27.8353,27.8353,1351030
FPT,20180702,29.6197,29.9052,28.5491,28.6918,979030
FPT,20180629,30.3334,30.6903,29.6197,29.6197,759780
FPT,20180628,31.6181,31.6181,30.3334,30.3334,1175250
FPT,20180627,32.0463,32.0463,31.5824,31.6181,256990
FPT,20180626,31.7609,31.9750,31.6181,31.7608,240850
FPT,20180625,32.4032,32.4032,32.0463,32.1891,511540
FPT,20180622,31.6181,32.1177,31.3326,32.1177,375270
FPT,20180621,32.4032,32.4032,31.4754,31.6895,349770
FPT,20180620,32.0463,32.4032,31.4039,32.4032,650560
FPT,20180619,32.1891,32.1891,30.4761,31.7608,2015520
FPT,20180618,33.4738,33.4738,32.4032,32.4032,693660
FPT,20180615,33.0456,33.3311,33.0099,33.1883,442100
FPT,20180614,33.5451,33.7236,33.2597,33.2597,460360
FPT,20180613,32.8314,33.4737,32.8314,33.4024,452120
FPT,20180612,33.9020,33.9020,32.6173,33.0455,1257200
FPT,20180611,34.0805,34.2232,33.9020,33.9020,721890
FPT,20180608,34.1875,34.4016,33.9020,34.2232,1050890
FPT,20180607,34.9012,34.9012,34.0447,34.1161,1138280
FPT,20180606,34.2588,34.6157,33.7592,34.6157,1017540
FPT,20180605,33.9020,34.3303,33.6879,34.1161,1347750
FPT,20180604,33.1883,33.8663,33.0812,33.7236,1150670
FPT,20180601,32.8314,33.3310,32.6173,33.1526,1291490
FPT,20180531,32.1534,33.3311,32.1177,32.8314,1105040
FPT,20180530,33.7592,33.7592,32.4031,32.4389,1590980
FPT,20180529,32.4746,34.4017,32.0107,33.8306,2350500
FPT,20180528,33.6879,34.4016,32.4745,32.4746,2034970
